Node,Level,Distance,Elapsed Time
Rugby World Cup,0,0,0.0
1900 Summer Olympics,1,1,93.449
110 metre hurdles,2,2,106.57
110 metres hurdles,3,3,106.828
"10,000 metres",4,4,117.99
"10,000 metres race walk",5,5,134.195
10-mile run,6,6,139.974
100-yard dash,7,7,146.441
1000 metres,8,8,151.755
1000M,9,9,157.523
113 East Roosevelt (Phase II),10,10,158.872
113 East Roosevelt,11,11,159.801
NEMA (Chicago),12,12,160.038
110 North Wacker,13,13,164.571
111 South Wacker Drive,14,14,168.655
151 North Franklin,15,15,172.477
155 North Wacker,16,16,176.097
1700 East 56th Street,17,17,179.587
181 West Madison Street,18,18,183.207
300 West Adams Building,19,19,186.97
Carson Pirie Scott and Company,20,20,187.718
Carson's,21,21,187.951
AM&A's,22,22,191.287
B. Altman,23,23,192.53
B. Altman and Company,24,24,192.816
10th Street (Manhattan),25,25,195.099
List of numbered streets in Manhattan,26,26,195.288
110th Street (Manhattan),27,27,207.836
103rd Street station (IND Eighth Avenue Line),28,28,216.875
101 Central Park West,29,29,227.941
103rd Street station (IRT Broadway–Seventh Avenue Line),30,30,233.395
108 Leonard,31,31,245.699
101 Warren Street,32,32,259.462
111 Murray Street,33,33,262.144
175 West Broadway,34,34,264.955
287 Broadway,35,35,267.697
116th Street–Columbia University station,36,36,276.286
110th Street (IRT Broadway–Seventh Avenue Line),37,37,288.072
Cathedral Parkway–110th Street station (IRT Broadway–Seventh Avenue Line),38,38,288.305
103rd Street (IRT Broadway–Seventh Avenue Line),39,39,304.137
110th Street (disambiguation),39,39,304.341
110th Street,40,40,304.522
110th Street (IRT Lexington Avenue Line),41,41,304.771
110th Street station (IRT Lexington Avenue Line),42,42,304.985
103rd Street station (IRT Lexington Avenue Line),43,43,308.187
103rd Street (disambiguation),44,44,311.204
103rd Street,45,45,311.442
103rd Street/Watts Towers station,46,46,311.691
17th Street/SMC station,47,47,316.731
1st Street station (Los Angeles Metro),48,48,321.433
2028 Summer Olympics,49,49,326.057
131st IOC Session,50,50,337.521
117th IOC Session,51,51,340.018
121st IOC Session,52,52,343.062
123rd IOC Session,53,53,345.947
125th IOC Session,54,54,347.861
127th IOC Session,55,55,352.001
128th IOC Session,56,56,353.603
129th IOC Session,57,57,355.652
130th IOC Session,58,58,357.22
132nd IOC Session,59,59,358.971
133rd IOC Session,60,60,360.509
134th IOC Session,61,61,362.556
13th Olympic Congress,62,62,364.684
121st International Olympic Committee Session,63,63,366.733
141st IOC Session,63,63,366.971
143rd IOC Session,64,64,369.749
Aruba,65,65,371.875
.aw,66,66,389.889
.ac,67,67,401.447
.ac (second-level domain),68,68,410.591
.edu (second-level domain),69,69,411.299
.ch,70,70,411.786
.ad,71,71,420.13
.ae,72,72,428.468
.aeDA,73,73,439.959
"Telecommunications Regulatory Authority, UAE",74,74,440.209
Telecommunications and Digital Government Regulatory Authority,75,75,440.701
2006 Emirati parliamentary election,76,76,443.864
2011 Emirati parliamentary election,77,77,445.466
2015 Emirati parliamentary election,78,78,446.182
2019 Emirati parliamentary election,79,79,446.868
2023 Emirati parliamentary election,80,80,448.745
Electoral college,81,81,449.397
1824 United States presidential election,82,82,457.68
1788–89 United States presidential election,83,83,469.627
1776 (film),84,84,485.359
111th Infantry Regiment (United States),85,85,501.345
110th Infantry Regiment (United States),86,86,506.215
109th Infantry Regiment (United States),87,87,507.708
103rd Armor Regiment,88,88,509.87
1st Infantry Division (United States),89,89,510.8
100th Infantry Division (United States),90,90,523.039
101st Airborne Division,91,91,529.632
10.5 cm leFH 18,92,92,545.771
10.5 cm FlaK 38,93,93,550.743
10.5 cm Gebirgshaubitze 40,94,94,554.603
10.5 cm Leichtgeschütz 40,95,95,558.558
10.5 cm Leichtgeschütz 42,96,96,562.223
10.5 cm SK C/32 naval gun,97,97,565.783
Anti-aircraft gun,98,98,566.761
Anti-aircraft warfare,99,99,567.422
.50 BMG,100,100,586.434
.20 BR,101,101,600.508
.204 Ruger,102,102,602.248
.14-222,103,103,605.561
.222 Remington,104,104,606.236
.17-223,105,105,610.498
.17 Remington,106,106,611.238
.17 Ackley Bee,107,107,616.446
.17 Bumble Bee,108,108,617.823
4 mm caliber,109,109,618.534
.177 caliber,110,110,619.909
.22 caliber,111,111,620.569
.218 Bee,112,112,622.01
.17 Winchester Super Magnum,113,113,626.091
.17 HMR,114,114,630.301
.17 HM2,115,115,632.235
.17 Hornet,116,116,633.585
.17 Mach 2,117,117,635.249
Initialism,118,118,635.483
Acronym,119,119,635.934
-onym,120,120,655.744
Abrahamic faiths,121,121,667.811
Abrahamic religions,122,122,668.048
613 Mitzvot,123,123,699.845
613 commandments,124,124,700.098
Aaron ha-Levi,125,125,715.208
Aharon HaLevi,126,126,715.418
Aaron ben Jacob ha-Kohen,127,127,720.855
Aaron ben Jacob,128,128,725.919
Aaron of Canterbury,128,128,726.106
Aaron of York,129,129,730.419
Abba Mari,130,130,735.188
Abraham Saba,131,131,741.456
Abraham Saba of Adrianpolou,132,132,746.895
Abraham ben David,132,132,747.13
Abraham Zacuto,133,133,753.038
Alfonsine Tables,134,134,755.779
Alfonsine tables,135,135,755.987
Alexander Bogdanov,136,136,757.491
12th Congress of the Russian Communist Party (Bolsheviks),137,137,764.763
10th Conference of the Russian Communist Party (Bolsheviks),138,138,771.748
10th Congress of the Russian Communist Party (Bolsheviks),138,138,771.969
10th Central Committee of the Russian Communist Party (Bolsheviks),139,139,778.296
Central Committee of the 10th Congress of the Russian Communist Party (Bolsheviks),140,140,778.541
10th Orgburo of the Russian Communist Party (Bolsheviks),141,141,786.136
Orgburo of the 10th Congress of the Russian Communist Party (Bolsheviks),142,142,786.337
10th Politburo and the 10th Secretariat of the Russian Communist Party (Bolsheviks),143,143,792.908
Politburo of the 10th Congress of the Russian Communist Party (Bolsheviks),144,144,793.162
11th Conference of the Russian Communist Party (Bolsheviks),145,145,799.346
11th Congress of the Russian Communist Party (Bolsheviks),145,145,799.576
11th Central Committee of the Russian Communist Party (Bolsheviks),146,146,806.065
Central Committee of the 11th Congress of the Russian Communist Party (Bolsheviks),147,147,806.275
11th Orgburo of the Russian Communist Party (Bolsheviks),148,148,816.444
Orgburo of the 11th Congress of the Russian Communist Party (Bolsheviks),149,149,816.669
12th Conference of the Russian Communist Party (Bolsheviks),150,150,823.266
13th Conference of the Russian Communist Party (Bolsheviks),150,150,823.47
13th Congress of the Russian Communist Party (Bolsheviks),150,150,823.697
13th Central Committee and the 13th Central Auditing Commission of the All-Union Communist Party (Bolsheviks),151,151,830.662
Central Committee of the 13th Congress of the All-Union Communist Party (Bolsheviks),152,152,830.904
13th Orgburo of the All-Union Communist Party (Bolsheviks),153,153,840.461
Orgburo of the 13th Congress of the All-Union Communist Party (Bolsheviks),154,154,840.678
14th Conference of the All-Union Communist Party (Bolsheviks),155,155,847.466
14th Congress of the All-Union Communist Party (Bolsheviks),155,155,847.716
14th Central Committee of the All-Union Communist Party (Bolsheviks),156,156,857.471
Central Committee of the 14th Congress of the All-Union Communist Party (Bolsheviks),157,157,858.038
14th Orgburo of the All-Union Communist Party (Bolsheviks),158,158,870.351
Orgburo of the 14th Congress of the All-Union Communist Party (Bolsheviks),159,159,870.607
14th Politburo and the 14th Secretariat of the All-Union Communist Party (Bolsheviks),160,160,877.677
Politburo of the 14th Congress of the All-Union Communist Party (Bolsheviks),161,161,877.875
15th Conference of the All-Union Communist Party (Bolsheviks),162,162,884.807
15th Congress of the All-Union Communist Party (Bolsheviks),162,162,885.067
15th Central Committee of the All-Union Communist Party (Bolsheviks),163,163,891.908
Central Committee of the 15th Congress of the All-Union Communist Party (Bolsheviks),164,164,892.146

Exceeded max time
